Date,Open,High,Low,Close,Volume
2014-05-16,8105,8105,8105,8105,1
2014-05-19,8500,8500,8500,8500,1
2014-05-20,8110,8110,8110,8110,8
2014-05-30,8105,8105,8105,8105,1
2014-06-06,8105,8105,8105,8105,20
2014-06-10,8500,8500,8500,8500,4
2014-06-13,8500,8500,8500,8500,10
2014-06-16,8500,8500,8500,8500,15
2014-06-17,8500,8500,8500,8500,98
2014-06-18,8500,8500,8500,8500,4
2014-06-19,8500,8500,8500,8500,3
2014-06-20,8500,8500,8500,8500,34
2014-06-23,8500,8500,8500,8500,1
2014-06-24,8500,8500,8500,8500,61
2014-06-25,8500,8500,8500,8500,4
2014-06-26,8500,8500,8500,8500,8
2014-06-30,8450,8450,8450,8450,2
2014-07-10,8450,8450,8450,8450,2
2014-07-11,8450,8450,8450,8450,10
2014-07-17,8400,8400,8400,8400,8
2014-07-31,8395,8395,8395,8395,4
2014-08-05,8230,8230,8230,8230,20
2014-08-14,8230,8230,8230,8230,7
2014-08-27,8230,8230,8230,8230,1
2014-09-18,8000,8000,8000,8000,15
2014-09-19,8000,8000,8000,8000,7
2014-11-26,7990,7990,7990,7990,5
2014-12-11,7990,7990,7990,7990,1
2014-12-23,7395,7395,7395,7395,70
2014-12-26,6845,6845,6845,6845,160
2015-01-12,6830,6830,6830,6830,1
2015-01-14,6800,6800,6800,6800,1
2015-01-19,6795,6795,6795,6795,2
2015-01-20,6795,6795,6795,6795,2
2015-01-23,6795,6795,6795,6795,6
2015-01-26,6700,6700,6700,6700,4
2015-01-28,6200,6200,6200,6200,5
2015-01-29,5735,5735,5735,5735,6
2015-02-02,5735,5750,5735,5750,25
2015-02-04,5700,5700,5700,5700,299
2015-02-06,5700,5700,5700,5700,2
2015-02-11,5700,5700,5700,5700,200
2015-02-12,5500,5500,5500,5500,24
2015-02-17,5500,5500,5500,5500,12
2015-02-18,5900,5900,5900,5900,300
2015-02-20,5900,5900,5900,5900,3
2015-02-23,5900,5900,5900,5900,10
2015-02-24,5900,5900,5900,5900,5
2015-02-25,5500,5500,5500,5500,12
2015-02-27,5500,5500,5500,5500,42
2015-03-02,5600,5600,5600,5600,12
2015-03-05,5500,5500,5500,5500,30
2015-03-10,5390,5500,5390,5500,10
2015-03-11,5495,5500,5495,5500,287
2015-03-12,5500,5500,5500,5500,2
2015-03-16,5500,5500,5500,5500,15
2015-03-18,5500,5500,5090,5090,6
2015-03-19,5085,5090,5085,5090,21
2015-03-20,5090,5090,5090,5090,22
2015-03-23,5090,5090,5090,5090,4
